sample_id,label
mistral_7b_instruct::trivia_qa_2_60k::base::main::43306,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::56280,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::57515,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::44450,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::24090,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::16607,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::40434,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::2356,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::21502,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20891,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20495,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::56912,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::38564,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::36455,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::48429,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::12895,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::15636,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::26573,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::57563,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::50763,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::18341,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::31140,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::40245,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::52056,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::9101,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::52089,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::18884,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::1467,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::25692,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::58462,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::20930,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::56367,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::42949,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::57352,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::24982,1
mistral_7b_instruct::trivia_qa_2_60k::base::main::25677,1
