sample_id,label
ministral_8b_instruct::trivia_qa_2_60k::base::main::57431,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25686,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18503,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56074,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::32627,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::53846,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39762,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30272,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::26265,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::43153,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::55209,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46603,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15023,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49034,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46794,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::24757,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::39200,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15242,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36609,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13219,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::12108,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::45786,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40644,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9685,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::48831,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::7629,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5287,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::48801,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::16641,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::994,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5862,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35353,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::28415,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36500,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::40844,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27733,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57251,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::8574,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27745,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::21600,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49196,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::41147,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::56804,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::54297,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::27075,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::31854,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11674,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::36861,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::44439,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3490,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22188,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49677,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::46375,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::50241,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19215,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::17249,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30792,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::25621,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::30355,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::19128,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::34132,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::21730,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::9596,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5221,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::15973,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::4906,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35700,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::35821,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::22296,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13716,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::47206,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5449,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::57289,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::5532,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::1052,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::11486,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::23971,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::13135,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::49789,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::16206,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::6984,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::18987,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::23824,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::687,1
ministral_8b_instruct::trivia_qa_2_60k::base::main::3584,1
