sample_id,label
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::29381,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::22666,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::36611,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::44605,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::55883,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::16943,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::29325,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::42028,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::23891,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::37254,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::31628,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57977,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::2372,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::3349,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::27598,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::45368,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::60,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::53821,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::14523,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::53037,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::18557,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::50279,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57591,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::9392,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::40128,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::31435,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::9797,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::16747,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::45226,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::1819,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::2495,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::17610,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::30432,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::16598,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::49407,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::24750,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::24572,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::46084,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::5306,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::32069,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57620,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::38061,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57610,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::4316,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::14676,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::49936,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::46103,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57411,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::14708,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::8139,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::12873,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::3986,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::57669,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::3360,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::18255,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::14489,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::21897,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::39054,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::36191,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::53869,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::39518,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::26106,1
qwen_2.5_7b_instruct::trivia_qa_2_60k::base::main::37363,1
